location,stringency_index,population_density,median_age,aged_65_and_older,aged_70_and_older,gdp_per_capita,extreme_poverty,cardiovascular_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Guinea-Bissau,,66.19099999999987,19.399999999999892,3.0019999999999794,1.5650000000000017,1548.6749999999938,67.09999999999974,382.47400000000096,2.419999999999987,6.402999999999997,,58.31999999999978,0.47999999999999854
Guyana,71.64371191135739,3.9519999999999986,26.300000000000008,5.305000000000018,2.836999999999991,7435.046999999966,,373.1590000000002,11.619999999999918,77.15899999999972,1.600000000000011,69.90999999999987,0.6819999999999949
Haiti,52.54487031700286,398.4480000000014,24.300000000000086,4.7999999999999705,2.953999999999977,1653.173000000001,23.5,430.54799999999983,6.650000000000045,22.863000000000106,0.6999999999999955,64.0,0.5099999999999989
Honduras,87.79649171270684,82.80500000000023,24.89999999999983,4.652000000000028,2.883000000000016,4541.794999999985,16.0,240.207999999999,7.210000000000027,84.16900000000074,0.6999999999999953,75.27000000000037,0.6339999999999939
Hong Kong,59.85174418604651,7039.713999999998,44.800000000000075,16.303000000000033,10.158000000000008,56054.91999999995,,,8.330000000000009,,,84.85999999999987,0.9489999999999992
Hungary,60.69432506887058,108.04300000000012,43.39999999999974,18.577000000000158,11.976000000000049,26777.56100000005,0.5,278.2960000000012,7.550000000000026,,7.0199999999999845,76.88000000000022,0.8540000000000023
Iceland,44.55680851063851,3.403999999999997,37.29999999999977,14.430999999999921,9.206999999999981,46482.958000000224,0.20000000000000143,117.99199999999902,5.30999999999996,,2.909999999999996,82.99000000000066,0.9490000000000075
India,68.14923267326718,450.41899999999686,28.200000000000113,5.989000000000023,3.413999999999989,6426.674000000068,21.19999999999991,282.27999999999906,10.389999999999969,59.54999999999957,0.530000000000001,69.65999999999987,0.6450000000000039
Indonesia,62.09058981233201,145.72499999999906,29.29999999999991,5.318999999999972,3.0530000000000093,11188.743999999955,5.700000000000023,342.86400000000117,6.320000000000003,64.20400000000035,1.0400000000000054,71.72000000000028,0.7179999999999971
International,,,,,,,,,,,,,
Iran,59.442421874999944,49.83099999999984,32.39999999999978,5.44000000000004,3.1820000000000115,19082.620000000094,0.20000000000000145,270.308000000001,9.590000000000046,,1.5,76.68000000000023,0.7829999999999974
Iraq,72.0845205479452,88.125,20.0,3.1859999999999995,1.9569999999999943,15663.98599999989,2.5,218.61199999999917,8.829999999999954,94.5760000000003,1.3999999999999901,70.59999999999958,0.6740000000000047
Ireland,70.19402666666636,69.87399999999981,38.70000000000025,13.927999999999951,8.677999999999992,67335.2930000003,0.2000000000000014,126.45900000000053,3.279999999999979,,2.960000000000015,82.2999999999995,0.9549999999999994
Isle of Man,,147.8720000000001,,,,,,,,,,81.40000000000006,
Israel,67.66310704960843,402.6059999999998,30.60000000000021,11.733000000000077,7.3589999999999565,33132.320000000174,0.5,93.31999999999977,6.73999999999996,,2.9900000000000078,82.97000000000041,0.9189999999999985
Italy,66.43962779156327,205.85899999999813,47.900000000000006,23.020999999999994,16.239999999999853,35220.08400000021,2.0,113.15099999999998,4.779999999999976,,3.1799999999999953,83.50999999999938,0.8919999999999969
Jamaica,73.44491666666644,266.87900000000076,31.39999999999979,9.68400000000007,6.390000000000024,8193.570999999998,,206.5369999999982,11.280000000000086,66.42499999999956,1.7000000000000013,74.47000000000028,0.7340000000000024
Japan,36.803985330073466,347.77800000000127,48.20000000000038,27.049000000000223,18.493000000000162,39002.22299999975,,79.36999999999968,5.7199999999999935,,13.0500000000001,84.63000000000014,0.9189999999999974
Jersey,,,,,,,,,,,,,
Jordan,68.6534770889488,109.28500000000058,23.199999999999918,3.8099999999999663,2.3609999999999918,8337.490000000067,0.1000000000000007,208.25699999999895,11.75,,1.3999999999999904,74.52999999999969,0.7290000000000051
Kazakhstan,76.4769832402234,6.68100000000003,30.600000000000204,6.990999999999988,4.625,24055.588000000196,0.10000000000000067,466.7919999999978,7.1099999999999905,98.99900000000015,6.699999999999998,73.5999999999996,0.8249999999999944
Kenya,70.25763586956505,87.32400000000035,20.0,2.686000000000013,1.5280000000000096,2993.028000000017,36.79999999999979,218.63700000000125,2.9199999999999866,24.650999999999883,1.3999999999999906,66.70000000000044,0.6009999999999992
Kosovo,71.0003089887639,168.15499999999923,,,,9795.83399999993,0.5999999999999963,,,,,,
Kuwait,71.55938172043012,232.12799999999828,33.70000000000018,2.3450000000000193,1.113999999999992,65530.537000000244,,132.23500000000047,15.840000000000083,,2.0,75.49000000000058,0.8060000000000013
Kyrgyzstan,65.29754929577456,32.33300000000005,26.30000000000002,4.4890000000000185,2.8819999999999766,3393.474000000006,1.3999999999999908,436.3619999999966,7.109999999999989,89.22000000000043,4.5,71.45000000000046,0.6970000000000023
Laos,40.107999999999926,29.71500000000011,24.399999999999842,4.028999999999997,2.3220000000000023,6397.360000000033,22.69999999999987,368.11100000000164,4.0,49.83899999999995,1.5,67.91999999999949,0.6129999999999997
Latvia,51.123783068783126,31.212000000000007,43.89999999999977,19.75399999999992,14.13600000000008,25063.846000000027,0.6999999999999951,350.0599999999984,4.910000000000031,,5.569999999999985,75.29000000000062,0.8660000000000021
Lebanon,71.15112565445052,594.5609999999951,31.100000000000218,8.514000000000015,5.4300000000000175,13367.565000000037,,266.5910000000003,12.710000000000031,,2.899999999999993,78.93000000000025,0.7440000000000028
Lesotho,60.3818430034129,73.56200000000038,22.199999999999886,4.506000000000005,2.6470000000000136,2851.1530000000157,59.6000000000001,405.1260000000009,3.9400000000000306,2.116999999999998,,54.32999999999994,0.5269999999999981
Liberia,62.51507122507122,49.127000000000294,19.199999999999882,3.0570000000000115,1.7559999999999831,752.7880000000004,38.600000000000236,272.5090000000009,2.419999999999986,1.1879999999999922,0.8000000000000054,64.09999999999975,0.4799999999999983
Libya,84.33480337078656,3.6230000000000264,29.0,4.423999999999983,2.8160000000000096,17881.50899999989,,341.8619999999973,10.429999999999934,,3.7000000000000255,72.90999999999987,0.7239999999999951
Liechtenstein,,237.01200000000134,,,,,,,7.7699999999999845,,2.397000000000017,82.49000000000065,0.918999999999999
Lithuania,53.23430481283421,45.13500000000012,43.5,19.00200000000015,13.777999999999977,29524.26500000004,0.6999999999999951,342.98900000000117,3.6700000000000057,,6.559999999999958,75.93000000000023,0.8820000000000038
Luxembourg,52.59094086021502,231.4470000000001,39.700000000000266,14.31199999999992,9.842000000000068,94277.96500000011,0.20000000000000143,128.2750000000009,4.420000000000018,,4.509999999999992,82.25,0.9159999999999973
Macao,23.150000000000002,20546.766,39.199999999999996,9.798,4.9910000000000005,104861.85100000001,,,,,,84.24,
Madagascar,56.26502824858784,43.95099999999959,19.600000000000115,2.9289999999999825,1.6859999999999984,1416.440000000002,77.59999999999955,405.99400000000287,3.940000000000034,50.540000000000454,0.20000000000000132,67.04000000000056,0.527999999999999
Malawi,54.825581395348635,197.5190000000002,18.100000000000083,2.9790000000000187,1.7830000000000066,1095.0420000000008,71.40000000000032,227.34900000000084,3.9400000000000337,8.704000000000034,1.3000000000000076,64.2599999999997,0.48300000000000204
Malaysia,60.31945273631861,96.25400000000062,29.89999999999978,6.292999999999985,3.4069999999999916,26808.164000000128,0.10000000000000077,260.94199999999887,16.73999999999985,,1.8999999999999861,76.15999999999987,0.810000000000002
Maldives,,1454.4330000000064,30.600000000000204,4.119999999999967,2.875,15183.616000000056,,164.90499999999923,9.190000000000046,95.8029999999999,,78.91999999999928,0.7400000000000037
Mali,49.67306590257864,15.195999999999934,16.399999999999938,2.519000000000005,1.4859999999999929,2014.3059999999905,,268.02400000000085,2.419999999999987,52.23199999999998,0.10000000000000066,59.31000000000015,0.43399999999999817
Malta,50.91926952141048,1454.037000000008,42.39999999999979,19.42600000000016,11.324000000000007,36513.32300000028,0.20000000000000148,168.7110000000011,8.829999999999954,,4.484999999999964,82.52999999999956,0.894999999999998
Marshall Islands,,295.1500000000008,,,,3819.2019999999934,,557.7929999999999,30.530000000000086,82.50200000000025,2.6999999999999935,73.70000000000002,0.7039999999999982
Mauritania,47.051813031161444,4.288999999999988,20.30000000000012,3.138000000000003,1.7919999999999965,3597.6329999999903,6.0,232.34699999999964,2.419999999999986,15.949999999999893,,64.91999999999952,0.5459999999999992
Mauritius,33.09457865168542,622.9619999999996,37.39999999999977,10.945000000000068,5.884000000000011,20292.745000000094,0.5,224.6440000000002,22.0200000000002,,3.400000000000001,74.9900000000005,0.8039999999999986
Mexico,59.104295774647625,66.4439999999997,29.29999999999982,6.856999999999978,4.32099999999997,17336.46899999983,2.5,152.78300000000127,13.060000000000079,87.84700000000082,1.3799999999999963,75.04999999999949,0.7789999999999974
Micronesia (country),,150.77700000000002,23.0,4.810000000000001,2.391999999999999,3299.464000000004,16.0,454.34300000000036,12.01999999999999,,,67.88000000000007,0.6200000000000002
Moldova,62.39638356164371,123.65499999999938,37.600000000000236,10.864000000000027,6.9549999999999645,5189.972000000018,0.20000000000000137,408.5019999999982,5.7200000000000175,86.97899999999954,5.799999999999977,71.9000000000004,0.75
Monaco,62.87419618528574,19347.5,,,,,,,5.460000000000024,,13.800000000000097,86.75,
Mongolia,64.61913165266107,1.9800000000000102,28.600000000000193,4.030999999999969,2.4210000000000176,11840.84599999993,0.5,460.0430000000028,4.819999999999986,71.18000000000023,7.0,69.86999999999986,0.7369999999999975
Montenegro,,46.280000000000264,39.100000000000236,14.761999999999984,9.394999999999984,16409.287999999964,1.0,387.3049999999964,10.079999999999954,,3.8610000000000206,76.8800000000002,0.8290000000000032
Montserrat,,,,,,,,,,,,74.16,
Morocco,67.77650385604096,80.08000000000081,29.600000000000215,6.76899999999995,4.209000000000008,7485.012999999958,1.0,419.1459999999993,7.139999999999996,,1.1000000000000072,76.68000000000023,0.6860000000000036
Mozambique,62.21436260623265,37.7279999999997,17.69999999999989,3.158000000000001,1.8700000000000039,1136.1030000000026,62.900000000000205,329.9419999999986,3.2999999999999785,12.226999999999943,0.6999999999999955,60.84999999999985,0.45599999999999946
Myanmar,77.9120461095103,81.72100000000039,29.100000000000193,5.7319999999999816,3.119999999999998,5591.597000000019,6.400000000000041,202.10399999999996,4.609999999999971,79.2870000000002,0.8999999999999991,67.13000000000007,0.5829999999999985
Namibia,52.47666666666641,3.0779999999999816,22.0,3.5519999999999934,2.0850000000000057,9541.80800000006,13.399999999999999,243.8110000000012,3.9400000000000346,44.60000000000025,,63.70999999999945,0.6459999999999944
Nepal,67.69757946210237,204.42999999999867,25.0,5.809000000000011,3.211999999999991,2442.8040000000033,15.0,260.7970000000018,7.260000000000062,47.781999999999606,0.29999999999999805,70.77999999999965,0.6020000000000025
Netherlands,61.122898936170394,508.5439999999967,43.2000000000003,18.77900000000019,11.88099999999998,48472.5450000001,,109.36099999999983,5.289999999999975,,3.3200000000000056,82.2799999999996,0.9440000000000013
New Zealand,37.97939393939374,18.206000000000078,37.899999999999764,15.322000000000056,9.719999999999924,36085.843000000226,,128.79699999999917,8.079999999999957,,2.610000000000012,82.29000000000063,0.930999999999999
Nicaragua,13.853352112676017,51.66699999999997,27.29999999999999,5.444999999999982,3.519000000000005,5321.443999999962,3.2000000000000215,137.01600000000084,11.469999999999912,,0.8999999999999986,74.47999999999963,0.659999999999997
Niger,30.424039548022638,16.95499999999994,15.100000000000037,2.5529999999999977,1.3779999999999897,926.0,44.5,238.33900000000162,2.4199999999999866,8.978000000000037,0.29999999999999816,62.41999999999959,0.3940000000000024
Nigeria,62.3112266666671,209.58800000000187,18.100000000000104,2.750999999999983,1.4470000000000025,5338.453999999967,,181.0129999999996,2.419999999999985,41.94900000000016,,54.689999999999856,0.538999999999996
North America,,,,,,,,,,,,,
North Macedonia,,82.59999999999944,39.10000000000024,13.260000000000124,8.159999999999975,13111.214000000002,5.0,322.6879999999978,10.079999999999952,,4.279999999999977,75.79999999999953,0.7740000000000008
Northern Cyprus,,,,,,,,,,,,,
